"题号","题干","A","B","C","D","E","答案","难度","题型"
"132","进入新世纪新阶段，以胡锦涛同志为主要代表的中国共产党人，团结带领全党全国各族人民，在全面建设小康社会进程中推进实践创新、理论创新、制度创新，深刻认识和回答了（    ）等重大问题，形成了科学发展观。","建设什么样的长期执政的马克思主义政党、怎样建设长期执政的马克思主义政党","新形势下实现什么样的发展、怎样发展","建设什么样的社会主义现代化强国、怎样建设社会主义现代化强国","新时代坚持和发展什么样的中国特色社会主义、怎样坚持和发展中国特色社会主义","","B","无","单选题"
"133","毛泽东思想紧紧围绕（   ）的主题，提出了一系列相互关联的重要理论观点，构成了一个完整的科学思想体系。","中国革命和建设","中国独立和自由","中国独立和解放","中国改革和发展","","A","无","单选题"
"134","在毛泽东思想的指导下，中国共产党团结带领中国人民，浴血奋战、百折不挠，创造了（    ）的伟大成就，建立了人民当家作主的中华人民共和国，实现了民族独立、人民解放。","改革开放和社会主义现代化建设","社会主义革命和建设","新民主主义革命","新时代中国特色社会主义","","C","无","单选题"
"135","毛泽东思想所确立的马克思主义中国化时代化的（   ），指导着我们党不断推进马克思主义中国化时代化，不断开辟马克思主义中国化时代化新境界。","前进方向、基本原则和基本方法","前进方向、根本方法和指导原则","唯一方向、基本原则和根本道路","基本走向、唯一原则和基本方法","","A","无","单选题"
"136","党的二十大明确把（    ）作为当代中国共产党人的庄严历史责任，并提出了继续推进马克思主义中国化时代化的新要求。","准确判断时代主题","在实践中不断推进马克思主义理论创新","准确把握中国国情","不断谱写马克思主义中国化时代化新篇章","","D","无","单选题"
"137","毛泽东思想形成和发展时期，时代的主题是（   ）。","战争与革命","和平与发展","竞争与垄断","多极化与全球化","","A","无","单选题"
"138","中国共产党和中国人民以英勇顽强的奋斗向世界庄严宣告，（    ）是决定当代中国前途命运的关键一招，中国特色社会主义道路是指引中国发展繁荣的正确道路，中国大踏步赶上了时代。","中国式现代化","改革开放","社会主义现代化建设","全面建成小康社会","","B","无","单选题"
"139","(     )提出了""中国特色社会主义理论体系""的科学概念。","党的十八届三中全会","党的十八大","党的十七大","党的十七届三中全会","","C","无","单选题"
"140","毛泽东思想走向成熟的主要标志是（   ）。","系统阐述了新民主主义革命理论","人民军队建设理论的形成","农村包围城市、武装夺取政权革命道路理论的形成","人民战争思想的形成","","A","无","单选题"
"141","习近平总书记在党的二十大报告中强调，推进马克思主义（    ）是一个追求真理、揭示真理、笃行真理的过程。","中国化","中国化时代化","时代化","普遍化","","B","无","单选题"
"142","检验党的一切工作的成效，最终要以（   ）为最高标准。","各项工作的顺利开展","党的自身利益","最广大人民根本利益","综合国力","","C","无","单选题"
"143","以胡锦涛同志为主要代表的中国共产党人形成的科学发展观，（    ）。","推动了中国特色社会主义理论体系的跨世纪发展","实现了中国特色社会主义理论体系在新世纪新阶段的新发展","是中国特色社会主义理论体系的开篇之作","谱写了新时代中国特色社会主义新篇章","","B","无","单选题"
"144","党的二十大报告指出，（    ）是我们党坚定信仰信念、把握历史主动的根本所在。","实现高质量发展","创造人类文明新形态","实现全体人民共同富裕","拥有马克思主义科学理论指导","","D","无","单选题"
"145","（    ）是马克思主义中国化时代化的第一次历史性飞跃。","新民主主义革命理论","邓小平理论","毛泽东思想","根据地建设理论","","C","无","单选题"
"146","下列关于实事求是的说法正确的是（   ）。","是毛泽东思想的基本点","是我们党的生命线和根本工作路线","是我们党在中国革命中战胜敌人的三大法宝之一","是我们党全部理论和实践的立足点","","A","无","单选题"
"147","（    ）成功把中国特色社会主义推向了21世纪。","邓小平理论","三个代表重要思想","科学发展观","社会主义革命和建设理论","","B","无","单选题"
"148","党的二十大报告强调，只有把马克思主义基本原理同中国具体实际相结合、（    ），坚持运用辩证唯物主义和历史唯物主义，才能正确回答时代和实践提出的重大问题，才能始终保持马克思主义的蓬勃生机和旺盛活力。","同社会主义核心价值观相结合","同中国文化相结合","同马克思主义经典著作相结合","同中华优秀传统文化相结合","","D","无","单选题"
"149","在习近平新时代中国特色社会主义思想的指导下，中国共产党团结带领中国人民，自信自强、守正创新，创造了（    ）的伟大成就。","新民主主义革命","改革开放和社会主义现代化建设","新时代中国特色社会主义","社会主义革命和建设","","C","无","单选题"
"150","党的二十大报告指出，我们必须坚定历史自信、文化自信，坚持古为今用、推陈出新，把马克思主义思想精髓同（    ）贯通起来、同人民群众日用而不觉的共同价值观念融通起来，不断赋予科学理论鲜明的中国特色，不断夯实马克思主义中国化时代化的历史基础和群众基础。","中国精神","国学","中华优秀传统文化精华","中国传统文明","","C","无","单选题"
"151","实践告诉我们，中国共产党为什么能，中国特色社会主义为什么好，归根到底是（    ）。","现实发展模式行","马克思主义行，中国化时代化的马克思主义行","中华优秀传统文化行","中国先进知识分子的选择正确","","B","无","单选题"
"152","群众路线，就是一切为了群众，一切依靠群众，从群众中来，到群众中去。这是党的（   ）。","根本工作路线","根本思想路线","根本政治原则","根本制度保证","","A","无","单选题"
"153","改革开放以来形成的（    ）是指导党和人民沿着中国特色社会主义道路实现中华民族伟大复兴的正确理论，是立于时代前沿、与时俱进的科学理论。","三个代表重要思想","科学发展观","邓小平理论","中国特色社会主义理论体系","","D","无","单选题"
"154","马克思主义是我们立党立国、兴党兴国的根本指导思想。马克思主义能不能在实践中发挥作用，关键在于（    ）。","能否打破常规","能否把马克思主义基本原理同中国实际和时代特征结合起来","能否把握时代大势","能否正确理解马克思主义基本原理","","B","无","单选题"
"155","区别新旧两种不同范畴的民主主义革命，其根本标志是（  ）。","革命的领导权是掌握在无产阶级手中还是掌握在资产阶级手中","革命的指导思想不同","革命的纲领不同","革命的前途不同","","A","无","单选题"
